ID,Name,Two Nights Cost USD,Location,Area,Rating,Reviews,Free_Cancellation,Free_Valet_Parking,Free_Breakfast,Free_WiFi,Fitness_Centre,Swimming_pool,Health_club,Bar,lon,lat
16,Hampton Inn by Hilton Wichita Northwest,220.26,Wichita Wichita,Wichita,4.5,Excellent,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.4588189,37.7361115
17,Residence Inn by Marriott Plazzio East,218.26,the airport Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2071696,37.704975
18,Holiday Inn Express Hotel & Suites Emporia Northwest,216.26,Newman Regional Health Emporia,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-96.22095259,38.42695437
19,Holiday Inn Express & Suites Wichita Northwest,215.58,Maize,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.46526731,37.75801532
20,Tru by Hilton Wichita Northeast,210.25,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2061462,37.706005
21,Days Inn & Suites by Wyndham El Dorado,210.22,El Dorado El Dorado,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-96.90076018,37.81601298
22,La Quinta Inn & Suites by Wyndham Wichita Airport,208.25,Valley Center Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.4156565,37.67223136
23,Baymont by Wyndham Wellington,208.23,Mulvane Area Wellington,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3841528,37.2743347
24,Holiday Inn Express Wichita South,206.35,South Wichita Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.322521,37.6060685
25,Hampton Inn Derby,205.23,Wichita Derby,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2460948,37.5735177
26,Home2 Suites by Hilton Wichita Northeast,200.24,Wichita Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2006301,37.7209129
27,Best Western Plus Patterson Park Inn,200.22,Arkansas City Arkansas City,Wichita,5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.0363516,37.1294359
28,WaterWalk Wichita,196.44,INTRUST Bank Arena Wichita,Wichita,5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3445244,37.6797027
29,Hampton Inn & Suites Wichita Northeast,195.23,Wichita Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.20870141,37.72790707
30,Hilton Garden Inn Wichita,194.23,Wichita Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2415565,37.7206758
31,SpringHill Suites by Marriott Wichita East at Plazzio,193.66,the city center Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2060657,37.705197
32,Aloft Wichita,193.23,Koch Aquatic Center Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2790468,37.7488494
33,Sleep Inn And Suites Haysville,193.23,Haysville,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.329869,37.563894
34,"Holiday Inn Express Hotel & Suites El Dorado, Kansas",192.73,El Dorado El Dorado,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-96.8997337,37.81609525
35,Staybridge Suites Wichita,190.24,Wichita Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2058064,37.7243771
36,Best Western Governors Inn & Suites,190.21,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.329735,37.609441
37,Wichita Inn,187.42,Towne West Square Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.415914,37.6721295
38,Holiday Inn Express Hotel & Suites East Wichita I-35 Andover,186.86,Andover Andover,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.13913156,37.67807249
39,Holiday Inn Express & Suites Wichita Airport,185.22,Towne West Square Wichita,Wichita,3.5,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.41401281,37.67558191
40,Rodeway Inn,183.2,Hesston College Hesston,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.56877432,37.66332415
41,Comfort Suites Airport,180.2,Towne West Square Wichita,Wichita,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,-97.429457,37.674556
42,Hampton Inn Wichita East,175.21,Wichita Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2281268,37.6815066
43,Wyndham Garden Wichita Downtown,175.19,Downtown Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.33595,37.6781916
44,Best Western Wichita Northeast,174.21,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2466812,37.7433013
45,Quality Suites Airport,173.2,Towne West Square Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.39952,37.675034
46,Best Western Plus Eastgate Inn & Suites,173.1,Downtown Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.238795,37.680048
47,Candlewood Suites Wichita East,170.2,Downtown Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.2754154,37.6783526
48,Candlewood Suites Wichita Airport,170.2,Valley Center Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2754154,37.6783526
49,Courtyard by Marriott Wichita East,169.09,KU Wichita Center For Healthcare Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2280088,37.736941
50,Comfort Inn East,168.23,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,-97.227269,37.68154
51,Comfort Inn & Suites,165.97,Downtown Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.24623608,37.75062572
52,Baymont by Wyndham Wichita East,165.17,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.1971971,37.6932609
53,La Quinta Inn & Suites by Wyndham Wichita Northeast,164.88,KU Wichita Center For Healthcare Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.19972287,37.73155294
54,Best Western Plus Wichita West Airport Inn,162.18,Airport Area Wichita,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3872484,37.6742133
55,Holiday Inn Express & Suites Wichita Northeast,162.18,The Village at Greenwich,Wichita,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.20587726,37.72533598
56,"Country Inn & Suites by Radisson, Wichita East, KS",155.9,Towne East Square Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.22694292,37.68264158
57,Candlewood Suites Wichita - Northeast,153.18,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2288469,37.7410647
58,Super 8 by Wyndham Hutchinson,145.18,Hutchinson Area Hutchinson,Wichita,3,Average,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.9004815,38.0716728
59,Days Inn & Suites by Wyndham Wichita,143.16,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.31955822,37.60782897
60,Days Inn & Suites by Wyndham Hutchinson,140.07,Hutchinson Area Hutchinson,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.90322474,38.07011065
61,Red Roof Inn PLUS+ Wichita East,139.08,Towne East Square Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.250457,37.6782788
62,"Studio 6 Wichita, KS - Airport",130.14,Towne West Square Wichita,Wichita,2.5,Average,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.409484,37.6738603
63,Days Inn by Wyndham Wichita West Near Airport,130.13,Towne West Square Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3913773,37.6756145
64,Rodeway Inn Goddard,130.06,Goddard,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.5687636,37.6631883
65,Super 8 by Wyndham Wichita South,128.13,Wichita Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3219959,37.6066628
66,Red Roof Inn & Conference Center Wichita Airport,127.15,Airport Area Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.42266054,37.6714549
67,Super 8 by Wyndham Wichita East,126.15,Wichita Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2398901,37.6801475
68,Hawthorn Suites by Wyndham Wichita East,126.14,Webb Road Wichita,Wichita,3,Average,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2270281,37.6804798
69,Wesley Inn,124.34,Wichita (College Hill) Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.2971778,37.6933293
70,Travelodge by Wyndham Wellington KS,124.13,Mulvane Area Wellington,Wichita,2,Average,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3844757,37.2757759
71,Howard Johnson by Wyndham Wichita Airport,122.12,Airport Area Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.4184806,37.6721504
72,Americas Best Value Inn & Suites Hesston,120.13,Hesston College Hesston,Wichita,2.5,Average,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.42237954,38.14533795
73,Quality Inn South,117.33,Wichita Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-97.323254,37.607368
74,Quality Inn & Suites,112.64,Downtown Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.39948781,37.67507642
75,Extended Stay America - Wichita - East,110.1,Wichita Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.227857,37.682374
76,"Motel 6 Wichita, KS",106.11,Towne East Square Wichita,Wichita,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.409484,37.6738603
77,Days Inn by Wyndham Andover,104.13,Wichita Andover,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.1372492,37.6809494
78,Days Inn by Wyndham Wichita North,103.95,Downtown Wichita,Wichita,2.5,Average,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3293157,37.780651
79,Super 8 by Wyndham Park City/North Wichita Area,100.01,Downtown Wichita,Wichita,4,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3296733,37.7929675
80,Canterbury Inn,99.12,Towne West Square Wichita,Wichita,3.5,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.41053193,37.67186964
81,"Motel 6 Wichita, KS",99.1,Towne West Square Wichita,Wichita,2.5,Average,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.409484,37.6738603
82,Super 8 by Wyndham Wichita North,93.7,Willowbend Golf Club Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.246278,37.7510372
83,Super 8 by Wyndham Wichita Airport,91.89,Valley Center Wichita,Wichita,3,Average,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.4152804,37.672128
84,Red Roof Inn Wichita - Park City,77.69,Downtown Wichita,Wichita,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-97.3272266,37.7985797
